NUTS2,Stadt,Bundesland
DE11,Stuttgart,Baden-Württemberg
DE12,Karlsruhe,Baden-Württemberg
DE13,Freiburg,Baden-Württemberg
DE14,Tübingen,Baden-Württemberg
DE21,Oberbayern,Bayern
DE22,Niederbayern,Bayern
DE23,Oberpfalz,Bayern
DE24,Oberfranken,Bayern
DE25,Mittelfranken,Bayern
DE26,Unterfranken,Bayern
DE27,Schwaben,Bayern
DE30,Berlin,Berlin
DE40,Brandenburg,Brandenburg
DE50,Bremen,Bremen
DE60,Hamburg,Hamburg
DE71,Darmstadt,Hessen
DE72,Gießen,Hessen
DE73,Kassel,Hessen
DE80,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern
DE91,Braunschweig,Niedersachsen
DE92,Hannover,Niedersachsen
DE93,Lüneburg,Niedersachsen
DE94,Weser-Ems,Niedersachsen
DEA1,Düsseldorf,Nordrhein-Westfalen
DEA2,Köln,Nordrhein-Westfalen
DEA3,Münster,Nordrhein-Westfalen
DEA4,Detmold,Nordrhein-Westfalen
DEA5,Arnsberg,Nordrhein-Westfalen
DEB1,Koblenz,Rheinland-Pfalz
DEB2,Trier,Rheinland-Pfalz
DEB3,Rheinhessen-Pfalz,Rheinland-Pfalz
DEC0,Saarland,Saarland
DED2,Dresden,Sachsen
DED4,Chemnitz,Sachsen
DED5,Leipzig,Sachsen
DEE0,Sachsen-Anhalt,Sachsen-Anhalt
DEF0,Schleswig-Holstein,Schleswig-Holstein
DEG0,Thüringen,Thüringen
DEZZ,Extra-Regio NUTS 2*,EXTRA-REGIO NUTS 1*
